StockCode,mae_naive,mae_mean,mae_hw,beats_naive,improvement,product,class
21527,0.0,36.13,2.14,False,,RED RETROSPOT TRADITIONAL TEAPOT,AY
23173,44.46,22.25,53.58,False,-20.5,REGENCY TEAPOT ROSES,AZ
20972,64.31,64.18,66.3,False,-3.1,PINK CREAM FELT CRAFT TRINKET BOX,AY
21314,49.77,47.95,48.17,True,3.2,SMALL GLASS HEART TRINKET POT,AY
84836,85.15,92.33,78.9,True,7.3,ZINC METAL HEART DECORATION,AY
84077,868.08,480.64,480.64,True,44.6,WORLD WAR 2 GLIDERS ASSTD DESIGNS,AY
22722,197.46,168.02,174.27,True,11.7,SET OF 6 SPICE TINS PANTRY DESIGN,AZ
22698,70.23,73.4,56.79,True,19.1,PINK REGENCY TEACUP AND SAUCER,AY
22728,79.77,121.36,79.23,True,0.7,ALARM CLOCK BAKELIKE PINK,AZ
48173C,19.92,33.52,33.52,False,-68.2,DOORMAT BLACK FLOCK,AZ
21231,88.15,56.21,90.89,False,-3.1,SWEETHEART CERAMIC TRINKET BOX,AY
47590A,16.08,23.68,21.93,False,-36.4,BLUE HAPPY BIRTHDAY BUNTING,AY
22171,13.15,20.63,20.63,False,-56.8,3 HOOK PHOTO SHELF ANTIQUE WHITE,AZ
23344,311.46,658.19,447.36,False,-43.6,JUMBO BAG 50'S CHRISTMAS,AZ
21955,12.77,36.12,27.83,False,-117.9,DOORMAT UNION JACK GUNS AND ROSES,AZ
21790,494.77,246.83,171.34,True,65.4,VINTAGE SNAP CARDS,AY
23243,168.69,191.9,180.74,False,-7.1,SET OF TEA COFFEE SUGAR TINS PANTRY,AZ
22605,6.62,9.31,6.47,True,2.2,WOODEN CROQUET GARDEN SET,AZ
22625,38.77,16.12,19.28,True,50.3,RED KITCHEN SCALES,AY
84406B,11.54,56.72,28.41,False,-146.2,CREAM CUPID HEARTS COAT HANGER,AY
22607,10.46,17.23,9.7,True,7.3,WOODEN ROUNDERS GARDEN SET,AY
21791,113.85,109.74,107.95,True,5.2,VINTAGE HEADS AND TAILS CARD GAME,AY
22554,81.08,95.3,85.63,False,-5.6,PLASTERS IN TIN WOODLAND ANIMALS,AY
21936,77.46,65.18,55.33,True,28.6,RED RETROSPOT PICNIC BAG,AY
84970S,63.15,138.53,64.76,False,-2.5,HANGING HEART ZINC T-LIGHT HOLDER,AX
22556,47.0,41.85,49.07,False,-4.4,PLASTERS IN TIN CIRCUS PARADE,AY
37449,7.92,20.39,9.96,False,-25.7,CERAMIC CAKE STAND + HANGING CAKES,AY
85014A,19.92,26.37,16.93,True,15.0,BLACK/BLUE POLKADOT UMBRELLA,AZ
20749,37.08,32.74,32.74,True,11.7,ASSORTED COLOUR MINI CASES,AY
22113,100.38,93.13,93.11,True,7.2,GREY HEART HOT WATER BOTTLE,AZ
22585,131.69,85.31,150.06,False,-13.9,PACK OF 6 BIRDY GIFT TAGS,AY
23202,111.23,230.55,111.29,False,-0.1,JUMBO BAG VINTAGE LEAF,AZ
22499,4.54,28.91,4.62,False,-1.8,WOODEN UNION JACK BUNTING,AY
22941,74.0,90.39,59.91,True,19.0,CHRISTMAS LIGHTS 10 REINDEER,AZ
21210,86.85,72.43,78.54,True,9.6,SET OF 72 RETROSPOT PAPER  DOILIES,AY
22456,13.23,12.67,11.39,True,13.9,NATURAL SLATE CHALKBOARD LARGE,AY
22969,169.08,159.61,153.37,True,9.3,HOMEMADE JAM SCENTED CANDLES,AZ
21213,521.31,199.07,182.11,True,65.1,PACK OF 72 SKULL CAKE CASES,AY
21258,9.92,8.08,10.87,False,-9.6,VICTORIAN SEWING BOX LARGE,AZ
23209,122.54,255.27,136.95,False,-11.8,LUNCH BAG VINTAGE DOILY,AZ
85048,49.54,66.54,42.3,True,14.6,15CM CHRISTMAS GLASS BALL 20 LIGHTS,AZ
22570,72.31,74.75,78.03,False,-7.9,FELTCRAFT CUSHION RABBIT,AY
22424,8.0,7.55,7.61,True,4.9,ENAMEL BREAD BIN CREAM,AY
23206,175.85,153.51,149.46,True,15.0,LUNCH BAG APPLE DESIGN,AZ
84997A,41.0,36.47,36.47,True,11.1,GREEN 3 PIECE MINI DOTS CUTLERY SET,AY
22294,80.31,96.16,71.58,True,10.9,HEART FILIGREE DOVE  SMALL,AY
22356,86.85,76.62,76.62,True,11.8,CHARLOTTE BAG PINK POLKADOT,AX
21218,33.92,30.66,30.66,True,9.6,RED SPOTTY BISCUIT TIN,AY
48116,39.77,52.86,52.86,False,-32.9,DOORMAT MULTICOLOUR STRIPE,AZ
22632,101.0,153.48,124.74,False,-23.5,HAND WARMER RED RETROSPOT,AZ
22617,57.62,52.64,58.72,False,-1.9,BAKING SET SPACEBOY DESIGN,AY
22693,92.54,96.43,92.84,False,-0.3,GROW A FLYTRAP OR SUNFLOWER IN TIN,AZ
20723,137.15,56.77,68.56,True,50.0,STRAWBERRY CHARLOTTE BAG,AX
21559,47.08,43.59,43.59,True,7.4,STRAWBERRY LUNCH BOX WITH CUTLERY,AX
22568,89.31,85.82,79.18,True,11.3,FELTCRAFT CUSHION OWL,AY
85150,347.69,24.83,24.83,True,92.9,LADIES & GENTLEMEN METAL SIGN,AY
21216,19.15,19.57,19.86,False,-3.7,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",AY
22273,205.31,194.14,194.14,True,5.4,FELTCRAFT DOLL MOLLY,AZ
22569,66.23,65.35,71.18,False,-7.5,FELTCRAFT CUSHION BUTTERFLY,AY
21622,2.38,37.24,7.45,False,-212.3,VINTAGE UNION JACK CUSHION COVER,AZ
22900,58.08,43.55,40.51,True,30.2,SET 2 TEA TOWELS I LOVE LONDON,AZ
22413,142.54,139.12,142.26,True,0.2,METAL SIGN TAKE IT OR LEAVE IT,AZ
48129,44.0,41.56,29.96,True,31.9,DOORMAT TOPIARY,AZ
22381,58.08,75.59,58.01,True,0.1,TOY TIDY PINK POLKADOT,AY
21174,96.69,96.76,100.9,False,-4.4,POTTERING IN THE SHED METAL SIGN,AY
22558,127.54,72.17,60.91,True,52.2,CLOTHES PEGS RETROSPOT PACK 24,AY
22169,23.77,20.75,20.33,True,14.5,FAMILY ALBUM WHITE PICTURE FRAME,AY
22561,46.62,58.79,36.28,True,22.2,WOODEN SCHOOL COLOURING SET,AY
21340,13.92,8.05,10.15,True,27.1,CLASSIC METAL BIRDCAGE PLANT HOLDER,AY
