StockCode,model,smoothing_level_alpha,initial_level,sse,aic,n_train_weeks,train_start,train_end,converged,mae_naive,mae_mean,mae_hw,beats_naive,product,ABC,XYZ,class
22629,SimpleExponentialSmoothing,0.1658,0.01,2643244.1,957.7,93,2009-11-30,2011-09-05,True,160.3846153846154,114.84615384615384,90.21691018635862,True,SPACEBOY LUNCH BOX,A,Y,AY
20712,SimpleExponentialSmoothing,0.0,157.3,1631615.6,912.8,93,2009-11-30,2011-09-05,True,88.0,104.06865177832918,104.06867077298206,False,JUMBO BAG WOODLAND ANIMALS,A,Y,AY
21485,SimpleExponentialSmoothing,0.5111,238.87,350584.5,769.8,93,2009-11-30,2011-09-05,True,110.15384615384616,100.76426799007446,116.35975773172837,False,RETROSPOT HEART HOT WATER BOTTLE,A,Y,AY
22727,SimpleExponentialSmoothing,0.2093,0.0,659371.6,828.6,93,2009-11-30,2011-09-05,True,144.6153846153846,217.88089330024815,154.44908213142634,False,ALARM CLOCK BAKELIKE RED,A,Z,AZ
22328,SimpleExponentialSmoothing,0.0,125.09,2666343.4,958.5,93,2009-11-30,2011-09-05,True,64.92307692307692,45.046319272125736,45.04637547073457,True,ROUND SNACK BOXES SET OF 4 FRUITS,A,Y,AY
21524,SimpleExponentialSmoothing,0.0936,84.8,263107.2,743.1,93,2009-11-30,2011-09-05,True,49.46153846153846,30.547559966914807,25.570752446313744,True,DOORMAT SPOTTY HOME SWEET HOME,A,Y,AY
84997C,SimpleExponentialSmoothing,0.0,84.37,687765.6,832.5,93,2009-11-30,2011-09-05,True,85.38461538461539,52.74110835401158,52.74110777031749,True,BLUE 3 PIECE MINI DOTS CUTLERY SET,A,Y,AY
20724,SimpleExponentialSmoothing,0.0619,229.76,1993978.9,931.5,93,2009-11-30,2011-09-05,True,159.92307692307693,177.31761786600495,146.24361838232122,True,RED RETROSPOT CHARLOTTE BAG,A,X,AX
21755,SimpleExponentialSmoothing,0.17,79.94,70918.7,621.2,93,2009-11-30,2011-09-05,True,23.53846153846154,30.990074441687344,14.538238710332251,True,LOVE BUILDING BLOCK WORD,A,X,AX
22379,SimpleExponentialSmoothing,0.0,146.99,2080509.0,935.4,93,2009-11-30,2011-09-05,True,90.46153846153848,94.76509511993385,94.76513245080535,False,RECYCLING BAG RETROSPOT,A,Y,AY
22382,SimpleExponentialSmoothing,0.3416,11.11,900281.6,857.5,93,2009-11-30,2011-09-05,True,107.15384615384616,101.59305210918114,95.47695243688992,True,LUNCH BAG SPACEBOY DESIGN,A,X,AX
22384,SimpleExponentialSmoothing,0.2754,13.17,1217215.6,885.6,93,2009-11-30,2011-09-05,True,79.61538461538461,76.0545905707196,106.26826954805878,False,LUNCH BAG PINK POLKADOT,A,X,AX
22666,SimpleExponentialSmoothing,0.1993,0.0,361291.7,772.6,93,2009-11-30,2011-09-05,True,161.15384615384616,175.86517783291976,154.28936925720168,True,RECIPE BOX PANTRY YELLOW DESIGN,A,Y,AY
22630,SimpleExponentialSmoothing,0.1454,0.04,2835671.2,964.2,93,2009-11-30,2011-09-05,True,82.84615384615384,81.4863523573201,86.6999734923054,False,DOLLY GIRL LUNCH BOX,A,Y,AY
15036,SimpleExponentialSmoothing,0.1774,155.35,26295485.0,1171.4,93,2009-11-30,2011-09-05,True,134.92307692307693,331.7932175351531,280.7749179509127,False,ASSORTED COLOURS SILK FAN,A,Y,AY
22726,SimpleExponentialSmoothing,0.4013,0.0,377975.3,776.8,93,2009-11-30,2011-09-05,True,86.76923076923077,171.57154673283705,89.22647519515274,False,ALARM CLOCK BAKELIKE GREEN,A,Y,AY
22385,SimpleExponentialSmoothing,0.0,157.47,1970153.2,930.4,93,2009-11-30,2011-09-05,True,96.15384615384616,94.95947063689,94.95947053814136,True,JUMBO BAG SPACEBOY DESIGN,A,Y,AY
22865,SimpleExponentialSmoothing,0.8315,0.0,2407434.2,949.0,93,2009-11-30,2011-09-05,True,364.5384615384616,384.1827956989247,269.2632940054978,True,HAND WARMER OWL DESIGN,A,Z,AZ
22077,SimpleExponentialSmoothing,0.3726,18.93,659855.3,828.6,93,2009-11-30,2011-09-05,True,104.76923076923076,121.92473118279574,98.0299226482298,True,6 RIBBONS RUSTIC CHARM,A,X,AX
